,Lat,Lon,Count
72,-26.97616646117645,152.58313194588246,85
73,-27.397756374626855,152.98355469364486,67
74,-27.438008186134475,153.17099070701815,119
75,-27.518168264516135,153.0407564858616,62
76,-27.609002778971956,153.12415738609533,107
77,-28.001086953448272,151.56951738275856,58
78,-28.814558623529418,153.45553992352941,17
79,-27.6570324138889,153.01232143949144,54
80,-27.44400322957748,152.6325980105954,71
81,-26.53659676285714,151.80047586217472,70
82,-27.740086004022995,152.65918921813733,87
83,-27.63809955128205,152.98455751063895,39
84,-20.349602074074074,145.97281510681398,27
85,-20.98312758301887,148.80452428679237,53
86,-20.327693865853668,148.76149340159586,41
87,-21.990433363793116,149.41677003965512,58
88,-27.613489929629623,153.2723649381651,135
89,,,0
90,-27.5449608548077,153.2609932290948,52
91,-27.397963599350657,152.93966510275737,77
92,-19.313775625875007,146.7904633595719,400
93,-27.712103437741938,153.2030930969638,155
94,-27.584034506481483,152.64499540923487,108
95,-27.419669179090906,152.99376456981972,55
96,-26.539885465652183,153.08017648824836,115
97,-27.956490938333324,153.39287024085533,120
98,-27.48399373173074,153.11174916376936,156
99,-27.508022244262285,153.17939580142638,61
100,-27.46356707105264,153.1529568012548,76
101,-27.484472543999992,152.88050871599998,25
102,-26.642194541379315,152.92800032939783,87
103,-27.52442408380954,152.06706081155366,105
104,-23.3432110111236,150.5281178548969,445
105,-27.673248578688522,151.06291646147542,61
106,-27.420298445833325,153.0424919010838,84
107,-27.438260084000007,153.09128842683586,50
108,-25.532925368817192,152.69095304625472,93
109,-21.399355874418596,148.4404979794812,43
110,-27.579006777777757,153.10285324604442,117
111,-27.754787986842103,153.00324719882516,95
112,-27.1171912485577,151.20401540843775,104
113,-24.9328468737705,152.17814746065574,61
114,-27.700027328030306,153.0920295039033,66
115,-27.788996996951212,153.3374986300719,82
116,-27.732870746078422,153.22903281402992,51
117,-28.085740830526323,153.39892972529347,95
118,-28.349774934615382,148.38845882307695,26
119,-24.41210876688313,151.62244728023958,77
120,-19.21899427522522,146.57118869969761,111
121,-25.33236337826087,153.1544007864196,23
122,-27.490146795876285,152.997410115797,97
123,-18.432082284,144.01359221599992,25
124,-27.40193949132651,153.06071617686646,98
125,-26.393762496511606,148.81754054302314,86
126,-28.35379967020728,151.8492557120775,193
127,-28.015623240845084,153.37532174174524,71
128,,,0
129,-27.486052061956524,153.06519593677734,92
130,-26.77373479111111,152.86300650140095,90
131,-27.580730043798457,153.03832063886054,129
132,-27.53315026708861,153.07814709135755,79
133,-16.482744596969695,145.4084825428322,99
134,-27.31791392159999,153.04957287230351,125
135,-23.908258179020983,151.1858980670025,143
136,-26.850675498305083,152.95490716288165,118
137,-25.059612839772736,152.3553311331703,44
138,-27.862631371534714,153.31553506162226,202
139,-27.310910928787877,152.98798215530294,132
140,-26.94476947142857,153.0889240142857,21
141,-26.011075940579712,152.52082114512234,69
142,-27.542568693617017,153.12290228403216,47
143,-24.023028428048775,144.7583325395672,82
144,-28.117059378571433,153.3314795925066,21
145,-27.637613766785712,152.7570851653741,140
146,-26.577318019140595,152.72220984539373,128
147,-27.284287416000005,152.92855060706913,75
148,-27.458299411111113,153.43808262113998,9
149,-28.027873819565208,152.9648157961704,69
150,-26.059276879310342,152.78841486550905,29
151,-27.453445592783506,153.03577401469443,97
152,-26.78076180366973,150.27257307093979,109
153,-27.05127851714286,153.08285862857142,35
154,-29.63460804166667,152.92018025,12
155,-27.576937738461556,152.98319955406606,91
156,-27.60474463529412,152.9664655814914,119
157,-24.87490586795583,152.37979230902684,181
158,-28.06732222948716,153.35748068715674,78
159,-27.159112660000005,152.40467979175682,60
160,-21.496331622368423,149.2355378209425,76
161,-27.609138208400015,152.92696638223103,125
